by,strat,age
2019,DSR,3
2019,DSR,3
2007,DSR,3
2006,NRR,3
2006,NRR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2006,NRR,3
2007,DSR,3
2007,DSR,3
2007,DSR,3
2007,DSR,3
2008,NRR,3
2008,DSR,3
2008,DSR,3
2008,DSR,3
2008,DSR,3
2008,NRR,3
2008,NRR,3
2008,DSR,3
2008,NRR,3
2008,NRR,3
2008,DSR,3
2008,DSR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2006,DSR,3
2007,DSR,3
2012,DSR,3
2011,DSR,3
2014,DSR,3
2013,NRR,3
2012,NRR,3
2012,NRR,3
2013,DSR,3
2010,DSR,3
2010,DSR,3
2010,NRR,3
2010,DSR,3
2010,NRR,3
2010,NRR,3
2010,DSR,3
2010,NRR,3
2008,NRR,3
2009,DSR,3
2019,DSR,3
2019,DSR,3
2020,DSR,3
2020,DSR,3
2018,DSR,3
2018,DSR,3
2018,DSR,3
2018,DSR,3
2019,DSR,4
2019,DSR,4
2019,DSR,4
2014,DSR,4
2007,DSR,4
2007,DSR,4
2006,DSR,4
2006,NRR,4
2006,DSR,4
2007,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,NRR,4
2006,DSR,4
2007,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,NRR,4
2006,NRR,4
2006,NRR,4
2007,DSR,4
2007,DSR,4
2007,DSR,4
2007,DSR,4
2007,DSR,4
2007,DSR,4
2007,DSR,4
2007,DSR,4
2007,DSR,4
2008,DSR,4
2008,NRR,4
2008,DSR,4
2008,DSR,4
2008,DSR,4
2008,NRR,4
2008,DSR,4
2008,NRR,4
2008,DSR,4
2008,NRR,4
2008,NRR,4
2006,DSR,4
2006,DSR,4
2007,NRR,4
2007,NRR,4
2006,DSR,4
2007,NRR,4
2006,DSR,4
2007,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2007,NRR,4
2006,DSR,4
2007,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2007,DSR,4
2006,DSR,4
2006,NRR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2006,DSR,4
2007,DSR,4
2009,NRR,4
2011,NRR,4
2012,DSR,4
2011,NRR,4
2012,DSR,4
2011,NRR,4
2012,DSR,4
2012,DSR,4
2012,DSR,4
2011,DSR,4
2011,DSR,4
2011,DSR,4
2012,DSR,4
2011,DSR,4
2010,DSR,4
2012,NRR,4
2014,DSR,4
2013,DSR,4
2012,NRR,4
2012,NRR,4
2014,DSR,4
2010,DSR,4
2010,DSR,4
2010,DSR,4
2010,DSR,4
2009,DSR,4
2010,DSR,4
2010,NRR,4
2010,DSR,4
2010,NRR,4
2010,DSR,4
2011,DSR,4
2010,DSR,4
2019,DSR,4
2019,DSR,4
2019,DSR,4
2019,DSR,4
2019,DSR,4
2019,DSR,4
2019,DSR,4
2019,DSR,4
2019,NRR,4
2019,NRR,4
2019,NRR,4
2019,NRR,4
2015,DSR,4
2016,DSR,4
2017,NRR,4
2014,NRR,4
2014,NRR,4
2017,DSR,4
2017,DSR,4
2017,DSR,4
2018,DSR,4
2018,DSR,4
2018,DSR,4
2018,DSR,4
2018,DSR,4
2018,DSR,4
2019,DSR,4
2018,DSR,4
2018,DSR,4
2019,DSR,4
2018,DSR,4
2018,DSR,4
2017,DSR,4
2017,DSR,4
2006,DSR,5
2006,DSR,5
2006,NRR,5
2006,DSR,5
2007,DSR,5
2007,DSR,5
2007,DSR,5
2008,NRR,5
2008,NRR,5
2008,NRR,5
2008,DSR,5
2008,DSR,5
2008,NRR,5
2008,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2007,NRR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2006,DSR,5
2011,NRR,5
2011,DSR,5
2013,NRR,5
2014,DSR,5
2009,DSR,5
2017,DSR,5
2017,DSR,5
2018,DSR,5
2018,DSR,5
