tag,strategy,growth,smoltlength
3D9.1C2E02D126,DSR,19,99
3D9.1C2E0311F1,DSR,21,99
3D9.239F868999,DSR,24,99
3D9.1C2DB5CAA7,DSR,25,99
3DD.0077CB97EF,DSR,25,99
3D9.1C2E07D7E8,DSR,26,99
3D9.1C2DE92B9C,DSR,38,99
3DD.0077465321,DSR,14,98
3DD.0077B54FA0,DSR,18,98
3D9.1C2DE90A24,DSR,20,98
3D9.1BF25D8EF9,DSR,24,98
3DD.007744F27E,DSR,24,98
3DD.007781536A,DSR,25,98
3D9.1C2DB53AAC,DSR,28,98
3DD.0077B3E8DF,DSR,29,98
3DD.00779C0C94,DSR,30,98
3D9.1C2E09FDE9,DSR,33,98
3D9.239F86FE63,DSR,38,98
3DD.0077B55340,DSR,40,98
3DD.00779BAE41,DSR,27,97
3D9.1C2E0165BE,DSR,28,97
3D9.1C2E09C421,DSR,29,97
3D9.1C2DB4CF90,DSR,33,97
3D9.1C2E08A929,DSR,33,97
3DD.00778D5056,DSR,34,97
3D9.1C2E02EC51,DSR,35,97
3D9.1C2DB4EC90,DSR,36,97
384.1B7976E36D,DSR,39,97
3D9.1C2CFFC513,NRR,22,96
3D9.1C2E01F3F5,NRR,26,96
3D9.1C2DB4C8D9,DSR,26,96
3DD.0077B35852,DSR,28,96
3D9.1C2E030A85,DSR,33,96
3D9.1C2DE9E530,DSR,37,96
3D9.1C2E09B797,DSR,21,95
3D9.1C2E030B5E,DSR,27,95
3DD.0077808329,DSR,27,95
3D9.1C2DB1DE3C,DSR,28,95
3D9.1C2DE7F752,DSR,30,95
3DD.0077C3DFC4,NRR,31,95
3DD.0077AC01C8,DSR,33,95
3D9.1C2DB592FC,DSR,35,95
3DD.0077B5361C,DSR,37,95
3D9.1C2E03210D,DSR,23,94
3D9.1C2DE87723,DSR,24,94
3D9.1C2E0199E3,DSR,24,94
3D9.1C2DB1C5B9,DSR,25,94
3DD.00779BED12,DSR,26,94
3DD.007745A70E,DSR,18,93
3D9.1C2C44CAD0,NRR,20,93
3D9.1C2D163351,NRR,28,93
3D9.239F85D2D3,DSR,32,93
3D9.1C2DAFD129,DSR,37,93
3D9.1C2C45D0F1,NRR,11,92
3DD.0077455E4F,NRR,21,92
3D9.1C2E0303F7,DSR,26,92
3D9.1C2DE86D9B,DSR,28,92
3D9.1BF262D36E,NRR,32,92
3D9.1C2D14D44F,NRR,28,91
3D9.1C2E0339D0,DSR,30,91
3D9.239F86C501,NRR,14,90
3D9.239F86F752,DSR,20,90
3D9.1C2E02D30E,DSR,22,90
3DD.0077CB5AF7,NRR,23,90
3D9.1C2DE9048F,DSR,30,90
3D9.1C2D17A26E,NRR,15,89
3D9.1C2DB5486C,DSR,22,89
3D9.1C2D14F729,NRR,23,89
3D9.1C2D818489,NRR,15,88
3D9.1C2C44A017,NRR,22,88
3D9.1C2DB5216B,DSR,24,88
3D9.1C2DB33AC2,DSR,26,88
3D9.1C2D17D40D,NRR,31,88
3D9.1C2D155C88,NRR,32,88
3DD.0077C43076,NRR,8,87
3D9.1C2E032F72,NRR,10,87
3D9.1C2D15E199,NRR,17,87
3D9.1C2DE844E7,NRR,17,87
3DD.003D53C191,NRR,22,87
3DD.00779C20EC,DSR,28,86
3D9.1C2DE77075,NRR,18,85
3D9.1C2E0311A8,DSR,21,85
3D9.1C2CC0589F,NRR,22,85
3DD.0077464077,NRR,26,85
3DD.0077463E08,NRR,8,84
3D9.1C2D85AAC5,NRR,26,84
3DD.00778182D6,NRR,13,83
3D9.1C2C43587E,NRR,18,83
3DD.0077B35FAC,NRR,12,82
3D9.1C2DE858EB,NRR,17,82
3DD.0077B3792B,NRR,18,82
3D9.1C2C44C62F,NRR,19,82
3D9.1C2C3FD819,NRR,12,81
3D9.1C2DE6FFE6,NRR,15,81
3D9.1C2CC04647,NRR,9,80
3D9.1C2DE809C6,NRR,18,80
3D9.1C2DE83CB8,NRR,19,80
3D9.1C2DE8902B,NRR,22,79
3D9.1C2D1688AB,NRR,20,78
3D9.1C2D8565C1,NRR,20,77
3DD.007744E3FD,NRR,16,76
3D9.1C2DE88261,NRR,16,75
3D9.1C2DE80ACD,NRR,10,72
3D9.1BF25DA640,DSR,58,128
3D9.1BF25D0237,DSR,44,126
3D9.1BF25D8F51,DSR,46,125
3D9.1BF262ABC1,DSR,51,125
3D9.1BF25D7374,DSR,50,122
3DD.00774696C3,DSR,48,121
3DD.00774598AA,DSR,55,121
3D9.1BF262BD5A,DSR,42,119
3DD.007746A2DA,DSR,35,118
3D9.1BF25D4D2C,DSR,39,118
3D9.1C2DB58717,NRR,43,118
3D9.1BF262A9BE,DSR,43,118
3DD.007746DBA5,DSR,44,118
3D9.1BF25D3C3A,DSR,50,118
3DD.0077B592AF,DSR,50,118
3DD.003D53CCA7,DSR,53,118
3DD.007745E2DF,DSR,33,117
3D9.1BF25DA2D8,DSR,36,117
3D9.1BF262AA5F,DSR,36,117
3D9.239F869D9B,DSR,37,117
3D9.1BF25D9CA2,DSR,42,117
3D9.1BF262D332,DSR,44,117
