detectiontime,strat,broodyear
6/8/08,DSR,2006
5/28/08,DSR,2006
5/15/08,DSR,2006
5/16/08,DSR,2006
5/15/08,DSR,2006
5/19/08,DSR,2006
5/16/08,DSR,2006
5/30/08,DSR,2006
5/24/08,DSR,2006
5/18/08,DSR,2006
5/13/08,DSR,2006
5/25/08,DSR,2006
5/25/08,DSR,2006
5/28/08,DSR,2006
5/23/08,DSR,2006
5/28/08,DSR,2006
5/20/08,DSR,2006
5/28/08,DSR,2006
5/28/08,DSR,2006
5/30/08,DSR,2006
5/29/08,DSR,2006
5/25/08,DSR,2006
5/22/08,DSR,2006
5/18/08,DSR,2006
5/26/08,DSR,2006
5/25/08,DSR,2006
5/19/08,DSR,2006
5/31/08,DSR,2006
6/13/08,DSR,2006
5/30/08,DSR,2006
5/21/08,DSR,2006
5/26/08,DSR,2006
5/28/08,DSR,2006
5/29/08,DSR,2006
5/28/08,DSR,2006
6/1/08,DSR,2006
5/30/08,DSR,2006
5/26/08,DSR,2006
5/27/08,DSR,2006
5/26/08,DSR,2006
5/24/08,DSR,2006
5/16/08,DSR,2006
5/18/08,DSR,2006
5/26/08,DSR,2006
5/30/08,DSR,2006
5/19/08,DSR,2006
5/30/08,DSR,2006
6/3/08,DSR,2006
5/26/08,DSR,2006
5/17/08,DSR,2006
5/20/08,DSR,2006
5/26/08,DSR,2006
5/27/08,DSR,2006
5/20/08,DSR,2006
5/17/08,DSR,2006
5/20/08,DSR,2006
5/16/08,DSR,2006
5/28/08,DSR,2006
5/26/08,DSR,2006
5/20/08,DSR,2006
5/23/08,DSR,2006
5/15/08,DSR,2006
5/27/08,DSR,2006
6/8/08,NRR,2006
5/24/08,NRR,2006
5/31/08,NRR,2006
6/8/08,NRR,2006
5/29/08,NRR,2006
5/18/08,NRR,2006
6/9/08,NRR,2006
5/25/08,NRR,2006
5/27/08,NRR,2006
5/23/08,NRR,2006
6/23/08,NRR,2006
6/14/08,NRR,2006
6/11/08,NRR,2006
5/27/08,NRR,2006
6/10/08,NRR,2006
6/2/08,NRR,2006
5/30/08,NRR,2006
6/9/08,NRR,2006
6/7/08,NRR,2006
6/10/08,NRR,2006
5/26/08,NRR,2006
5/27/08,NRR,2006
5/27/08,NRR,2006
6/6/08,NRR,2006
6/12/08,NRR,2006
5/14/09,DSR,2007
5/15/09,DSR,2007
5/18/09,DSR,2007
5/16/09,DSR,2007
5/18/09,DSR,2007
5/19/09,DSR,2007
5/13/09,DSR,2007
5/13/09,DSR,2007
5/14/09,DSR,2007
5/17/09,DSR,2007
5/13/09,DSR,2007
5/14/09,DSR,2007
5/8/09,DSR,2007
5/12/09,DSR,2007
5/9/09,DSR,2007
5/14/09,DSR,2007
5/11/09,DSR,2007
5/10/09,DSR,2007
5/31/09,DSR,2007
5/19/09,DSR,2007
5/18/09,DSR,2007
5/13/09,DSR,2007
5/18/09,DSR,2007
5/14/09,DSR,2007
5/28/09,DSR,2007
5/18/09,DSR,2007
5/28/09,DSR,2007
5/18/09,DSR,2007
5/14/09,DSR,2007
5/26/09,DSR,2007
5/18/09,DSR,2007
5/27/09,DSR,2007
5/27/09,DSR,2007
5/21/09,DSR,2007
5/18/09,DSR,2007
5/18/09,DSR,2007
5/26/09,DSR,2007
5/15/09,DSR,2007
5/14/09,DSR,2007
5/12/09,DSR,2007
5/31/09,DSR,2007
5/20/09,DSR,2007
5/21/09,DSR,2007
5/16/09,DSR,2007
5/22/09,DSR,2007
5/12/09,DSR,2007
5/19/09,DSR,2007
5/15/09,DSR,2007
5/23/09,DSR,2007
5/13/09,DSR,2007
5/11/09,DSR,2007
5/12/09,DSR,2007
5/19/09,DSR,2007
5/18/09,DSR,2007
5/18/09,DSR,2007
5/10/09,DSR,2007
5/9/09,DSR,2007
5/16/09,DSR,2007
5/19/09,NRR,2007
5/17/09,NRR,2007
6/17/09,NRR,2007
6/5/09,NRR,2007
5/21/09,NRR,2007
6/5/09,NRR,2007
5/16/09,NRR,2007
5/31/09,NRR,2007
5/15/09,NRR,2007
5/31/09,NRR,2007
6/5/09,NRR,2007
6/5/09,NRR,2007
6/5/09,NRR,2007
5/19/09,NRR,2007
5/29/09,NRR,2007
6/17/09,NRR,2007
5/25/09,NRR,2007
5/19/09,NRR,2007
6/10/09,NRR,2007
6/5/10,DSR,2008
5/10/10,DSR,2008
5/22/10,DSR,2008
5/12/10,DSR,2008
5/8/10,DSR,2008
5/14/10,DSR,2008
5/24/10,DSR,2008
5/14/10,DSR,2008
