"Tag Code","Mark Date MMDDYYYY","Mark Site Name","Recap Date MMDDYYYY","Recap Site Name","Mark Length mm","Recap Length mm","Mark Weight g","Recap Weight g","Recap Count"
"384.1B79742854","8/7/2017","BIG2C - Big Creek, Middle Fork Salmon River","9/19/2017","BIG2C - Big Creek, Middle Fork Salmon River","56","67","2.5","3.8","1"
"384.1B79742862","8/13/2015","BIG2C - Big Creek, Middle Fork Salmon River","9/11/2015","BIG2C - Big Creek, Middle Fork Salmon River","65","65","","2.8","1"
"384.1B79743058","8/8/2017","BIG2C - Big Creek, Middle Fork Salmon River","8/17/2017","BIG2C - Big Creek, Middle Fork Salmon River","55","55","1.9","1.9","1"
"384.1B79748E9E","8/7/2016","BIG2C - Big Creek, Middle Fork Salmon River","11/5/2016","BIG2C - Big Creek, Middle Fork Salmon River","58","67","2.2","3.1","1"
"384.1B79748F6A","8/7/2017","BIG2C - Big Creek, Middle Fork Salmon River","9/24/2017","BIG2C - Big Creek, Middle Fork Salmon River","63","67","3.4","3.2","1"
"384.1B797493F5","8/7/2016","BIG2C - Big Creek, Middle Fork Salmon River","5/4/2017","BIG2C - Big Creek, Middle Fork Salmon River","","80","","4.8","1"
"384.1B7974A21A","8/7/2017","BIG2C - Big Creek, Middle Fork Salmon River","10/19/2017","BIG2C - Big Creek, Middle Fork Salmon River","65","70","3.8","3.4","1"
"384.1B7976DB10","8/8/2017","BIG2C - Big Creek, Middle Fork Salmon River","10/30/2017","BIG2C - Big Creek, Middle Fork Salmon River","63","68","2.4","3.4","1"
"384.1B7976E36D","8/8/2017","BIG2C - Big Creek, Middle Fork Salmon River","10/2/2017","BIG2C - Big Creek, Middle Fork Salmon River","58","74","2","4.2","1"
"384.1B7976EA90","8/8/2017","BIG2C - Big Creek, Middle Fork Salmon River","10/25/2017","BIG2C - Big Creek, Middle Fork Salmon River","59","","1.9","","1"
"384.1B79774D2E","8/8/2017","BIG2C - Big Creek, Middle Fork Salmon River","9/18/2017","BIG2C - Big Creek, Middle Fork Salmon River","57","68","1.8","3.3","1"
"384.1B79775170","8/7/2017","BIG2C - Big Creek, Middle Fork Salmon River","10/12/2017","BIG2C - Big Creek, Middle Fork Salmon River","60","67","2.2","3.3","1"
"384.1B79776039","8/7/2017","BIG2C - Big Creek, Middle Fork Salmon River","10/23/2017","BIG2C - Big Creek, Middle Fork Salmon River","58","72","2.4","3.8","1"
"384.1B79776C45","8/7/2017","BIG2C - Big Creek, Middle Fork Salmon River","10/13/2017","BIG2C - Big Creek, Middle Fork Salmon River","56","72","2.1","3.8","1"
"3D9.1BF242CA46","7/31/2008","BIG2C - Big Creek, Middle Fork Salmon River","8/19/2008","BIG2C - Big Creek, Middle Fork Salmon River","66","76","3.7","5.3","1"
"3D9.1BF25DA7A7","8/8/2006","BIG2C - Big Creek, Middle Fork Salmon River","6/11/2007","BIG2C - Big Creek, Middle Fork Salmon River","66","100","3","11.5","1"
"3D9.1BF262D36E","8/8/2006","BIG2C - Big Creek, Middle Fork Salmon River","5/30/2007","BIG2C - Big Creek, Middle Fork Salmon River","60","92","3","10.2","1"
"3D9.1C2C3A23E5","8/24/2007","BIG2C - Big Creek, Middle Fork Salmon River","10/7/2007","BIG2C - Big Creek, Middle Fork Salmon River","69","77","4.6","4.3","1"
"3D9.1C2C3A246F","8/23/2007","BIG2C - Big Creek, Middle Fork Salmon River","10/6/2007","BIG2C - Big Creek, Middle Fork Salmon River","75","78","5.9","4.9","1"
"3D9.1C2C3A254C","8/23/2007","BIG2C - Big Creek, Middle Fork Salmon River","10/12/2007","BIG2C - Big Creek, Middle Fork Salmon River","76","81","","6","1"
"3D9.1C2C3A257F","8/12/2008","BIG2C - Big Creek, Middle Fork Salmon River","8/29/2008","BIG2C - Big Creek, Middle Fork Salmon River","61","63","","2.3","1"
"3D9.1C2C3A25E3","8/24/2007","BIG2C - Big Creek, Middle Fork Salmon River","10/16/2007","BIG2C - Big Creek, Middle Fork Salmon River","83","87","6.8","7","1"
"3D9.1C2C3A25F1","8/24/2007","BIG2C - Big Creek, Middle Fork Salmon River","10/27/2007","BIG2C - Big Creek, Middle Fork Salmon River","68","75","3.8","4.4","1"
"3D9.1C2C3A2615","8/23/2007","BIG2C - Big Creek, Middle Fork Salmon River","10/31/2007","BIG2C - Big Creek, Middle Fork Salmon River","73","81","5.4","5.8","1"
"3D9.1C2C3A2675","8/23/2007","BIG2C - Big Creek, Middle Fork Salmon River","10/22/2007","BIG2C - Big Creek, Middle Fork Salmon River","81","90","","","1"
"3D9.1C2C3A29CC","8/23/2007","BIG2C - Big Creek, Middle Fork Salmon River","10/22/2007","BIG2C - Big Creek, Middle Fork Salmon River","62","68","3.1","","1"
