"Tag Code","Site Name","First Time Value","Count"
"3DD.003DE4C874","BO1 - Bonneville Bradford Is. Ladder","5/14/2025 6:05:26 PM","1"
"3DD.003D7F5D58","BO1 - Bonneville Bradford Is. Ladder","5/12/2025 5:21:13 PM","1"
"3DD.003DFA112E","BO1 - Bonneville Bradford Is. Ladder","5/12/2025 4:49:50 PM","1"
"3DD.003DFA11DF","BO1 - Bonneville Bradford Is. Ladder","5/11/2025 3:00:10 PM","1"
"3DD.003D53C705","BO1 - Bonneville Bradford Is. Ladder","5/10/2025 2:00:34 PM","1"
"3DD.003DFA110D","BO4 - Bonneville WA Ladder Slots","5/4/2025 4:04:23 PM","1"
"3DD.003DFA110D","BO2 - Bonneville Cascades Is. Ladder","5/4/2025 3:30:15 PM","1"
"3DD.003D7F4350","BO1 - Bonneville Bradford Is. Ladder","7/3/2024 7:12:29 AM","1"
"3DD.003D7F42F7","BO1 - Bonneville Bradford Is. Ladder","6/27/2024 4:21:11 PM","1"
"3DD.0077BF50E8","BO1 - Bonneville Bradford Is. Ladder","6/23/2024 2:52:55 PM","1"
"3DD.003D5830BA","BO1 - Bonneville Bradford Is. Ladder","6/22/2024 2:38:07 PM","1"
"3DD.003D7F2FB0","BO4 - Bonneville WA Ladder Slots","6/17/2024 7:53:26 AM","1"
"3DD.003D7F5D6D","BO4 - Bonneville WA Ladder Slots","6/17/2024 5:25:09 AM","1"
"3DD.003D7F2FB0","BO2 - Bonneville Cascades Is. Ladder","6/17/2024 4:57:38 AM","1"
"3DD.003D7F5D6D","BO3 - Bonneville WA Shore Ladder/AFF","6/16/2024 8:06:55 PM","1"
"3DD.003D7F4490","BO1 - Bonneville Bradford Is. Ladder","6/16/2024 2:33:39 PM","1"
"3DD.003D7F4476","BO4 - Bonneville WA Ladder Slots","6/16/2024 8:55:32 AM","1"
"3DD.003D7F4476","BO3 - Bonneville WA Shore Ladder/AFF","6/16/2024 7:11:50 AM","1"
"384.3B23AB9DDB","BO4 - Bonneville WA Ladder Slots","6/14/2024 5:17:36 AM","1"
"384.3B23AB9DDB","BO2 - Bonneville Cascades Is. Ladder","6/14/2024 3:45:49 AM","1"
"3DD.003D7F41F2","BO4 - Bonneville WA Ladder Slots","6/13/2024 5:04:31 PM","1"
