"Tag Code","Site Name","First Time Value","Count"
"3DD.003E1D2CAF","B2J - Bonneville PH2 Juvenile","5/29/2024 10:27:17 AM","1"
"3DD.003E1D2D35","BCC - BON PH2 Corner Collector","5/25/2024 8:42:55 AM","1"
"3DD.003E1D2D3E","BCC - BON PH2 Corner Collector","5/24/2024 9:15:15 PM","1"
"3DD.003DFA228B","BCC - BON PH2 Corner Collector","5/23/2024 7:19:48 PM","1"
"3DD.003E1D2CAE","BCC - BON PH2 Corner Collector","5/23/2024 5:44:06 PM","1"
"3DD.003E1D2D77","B2J - Bonneville PH2 Juvenile","5/23/2024 6:52:25 AM","1"
"3DD.003E1D2D67","B2J - Bonneville PH2 Juvenile","5/22/2024 8:46:58 PM","1"
"3DD.003DFA1999","B2J - Bonneville PH2 Juvenile","5/22/2024 8:38:47 PM","1"
"3DD.003DFA23F1","B2J - Bonneville PH2 Juvenile","5/21/2024 9:01:02 PM","1"
"3DD.003DFA1B36","BCC - BON PH2 Corner Collector","5/20/2024 9:13:49 PM","1"
"3DD.003E1D2CD8","BCC - BON PH2 Corner Collector","5/20/2024 7:03:52 PM","1"
"3DD.0077BF8574","B2J - Bonneville PH2 Juvenile","5/20/2024 1:40:53 PM","1"
"3DD.003E1D2CF1","BCC - BON PH2 Corner Collector","5/19/2024 9:43:17 PM","1"
"3DD.003E1D2D52","BCC - BON PH2 Corner Collector","5/19/2024 5:53:58 PM","1"
"3DD.003DFA1B97","BCC - BON PH2 Corner Collector","5/18/2024 8:19:02 PM","1"
"3DD.0077BF394B","BCC - BON PH2 Corner Collector","5/18/2024 1:39:06 PM","1"
"3DD.003DFA1EB1","BCC - BON PH2 Corner Collector","5/18/2024 4:34:13 AM","1"
"3DD.003DFA190B","B2J - Bonneville PH2 Juvenile","5/18/2024 2:59:41 AM","1"
"3DD.0077BF6672","B2J - Bonneville PH2 Juvenile","5/17/2024 2:23:05 PM","1"
"3DD.003DFA1B0E","B2J - Bonneville PH2 Juvenile","5/17/2024 12:45:09 PM","1"
"3DD.003DFA192B","BCC - BON PH2 Corner Collector","5/17/2024 8:20:36 AM","1"
"3DD.003DFA2183","B2J - Bonneville PH2 Juvenile","5/17/2024 7:41:23 AM","1"
"3DD.003DFA2200","BCC - BON PH2 Corner Collector","5/17/2024 5:24:28 AM","1"
"3DD.0077BF941D","B2J - Bonneville PH2 Juvenile","5/17/2024 1:44:47 AM","1"
"3DD.003DFA2375","B2J - Bonneville PH2 Juvenile","5/16/2024 10:54:51 PM","1"
"3DD.0077BFFB39","B2J - Bonneville PH2 Juvenile","5/16/2024 9:22:01 PM","1"
"3DD.003DFA21BF","BCC - BON PH2 Corner Collector","5/16/2024 4:28:34 PM","1"
"3DD.003DFA2262","BCC - BON PH2 Corner Collector","5/16/2024 3:46:17 PM","1"
"3DD.003DFA1A39","B2J - Bonneville PH2 Juvenile","5/16/2024 2:55:17 PM","1"
"3DD.0077BFC034","B2J - Bonneville PH2 Juvenile","5/15/2024 11:10:44 PM","1"
"3DD.003DFA139A","BCC - BON PH2 Corner Collector","5/15/2024 5:27:43 PM","1"
"3DD.0077BFB798","BCC - BON PH2 Corner Collector","5/15/2024 4:18:26 PM","1"
"3DD.003DFA235D","BCC - BON PH2 Corner Collector","5/15/2024 8:45:02 AM","1"
"3DD.003DFA2268","B2J - Bonneville PH2 Juvenile","5/15/2024 7:45:12 AM","1"
"3DD.003DFA1A6B","BCC - BON PH2 Corner Collector","5/15/2024 6:26:48 AM","1"
"3DD.0077BFA22D","B2J - Bonneville PH2 Juvenile","5/14/2024 1:34:57 PM","1"
"3DD.003DFA1FF0","BCC - BON PH2 Corner Collector","5/13/2024 5:53:42 PM","1"
"3DD.003DFA1D33","B2J - Bonneville PH2 Juvenile","5/13/2024 4:49:06 PM","1"
"3DD.0077BF4EC3","BCC - BON PH2 Corner Collector","5/13/2024 11:05:27 AM","1"
"3DD.003DFA16F0","B2J - Bonneville PH2 Juvenile","5/12/2024 9:32:17 PM","1"
"3DD.003DFA1DD7","B2J - Bonneville PH2 Juvenile","5/12/2024 12:51:52 AM","1"
"3DD.003DFA1694","B2J - Bonneville PH2 Juvenile","5/10/2024 9:00:57 PM","1"
"3DD.003DFA1C4F","B2J - Bonneville PH2 Juvenile","5/10/2024 8:38:12 AM","1"
"3DD.003DFA1719","BCC - BON PH2 Corner Collector","5/9/2024 1:04:58 PM","1"
"3DD.003DFA2355","BCC - BON PH2 Corner Collector","5/9/2024 10:54:49 AM","1"
"3DD.003DFA1B21","B2J - Bonneville PH2 Juvenile","5/9/2024 2:54:14 AM","1"
"3DD.003DFA1DBC","B2J - Bonneville PH2 Juvenile","5/8/2024 6:21:44 PM","1"
"3DD.003DFA222E","B2J - Bonneville PH2 Juvenile","5/7/2024 4:14:25 PM","1"
"3DD.0077BF503C","B2J - Bonneville PH2 Juvenile","5/7/2024 7:09:29 AM","1"
"3DD.003DFA1DAD","B2J - Bonneville PH2 Juvenile","5/6/2024 10:07:01 PM","1"
"3DD.003DFA16E4","BCC - BON PH2 Corner Collector","5/6/2024 2:13:37 PM","1"
"3DD.003DFA1E71","BCC - BON PH2 Corner Collector","5/6/2024 6:21:54 AM","1"
"3DD.003DFA1516","B2J - Bonneville PH2 Juvenile","5/5/2024 1:55:11 PM","1"
"3DD.003DFA1C76","B2J - Bonneville PH2 Juvenile","5/5/2024 1:07:53 PM","1"
"3DD.003DFA1B5C","B2J - Bonneville PH2 Juvenile","5/5/2024 5:12:42 AM","1"
"3DD.003DFA1892","B2J - Bonneville PH2 Juvenile","5/5/2024 3:16:08 AM","1"
"3DD.003DFA2226","BCC - BON PH2 Corner Collector","5/4/2024 8:02:14 AM","1"
"3DD.003DFA1C46","BCC - BON PH2 Corner Collector","5/4/2024 5:29:23 AM","1"
"3DD.003DFA225E","BCC - BON PH2 Corner Collector","5/2/2024 1:26:40 PM","1"
"3DD.0077BFC620","BCC - BON PH2 Corner Collector","5/2/2024 3:13:19 AM","1"
"3DD.003DFA1CCB","BCC - BON PH2 Corner Collector","5/1/2024 7:07:43 PM","1"
"3DD.003DFA1A5C","BCC - BON PH2 Corner Collector","5/1/2024 8:49:35 AM","1"
"3DD.003DFA19D2","B2J - Bonneville PH2 Juvenile","5/1/2024 4:33:30 AM","1"
"3DD.0077BF8EAE","B2J - Bonneville PH2 Juvenile","5/1/2024 4:13:52 AM","1"
"3DD.003DFA17C3","BCC - BON PH2 Corner Collector","5/1/2024 2:07:25 AM","1"
"3DD.003DFA1ED1","B2J - Bonneville PH2 Juvenile","4/30/2024 9:08:51 PM","1"
"3DD.003DFA22DB","BCC - BON PH2 Corner Collector","4/30/2024 7:06:11 PM","1"
"3DD.003DFA1664","B2J - Bonneville PH2 Juvenile","4/30/2024 7:00:56 PM","1"
"3DD.003DFA184E","B2J - Bonneville PH2 Juvenile","4/30/2024 8:53:56 AM","1"
"3DD.003DFA19F9","B2J - Bonneville PH2 Juvenile","4/29/2024 3:19:33 PM","1"
"3DD.003DFA2173","BCC - BON PH2 Corner Collector","4/28/2024 2:50:06 PM","1"
"3DD.003DFA16A8","B2J - Bonneville PH2 Juvenile","4/28/2024 11:56:06 AM","1"
"3DD.003DFA14A8","B2J - Bonneville PH2 Juvenile","4/28/2024 1:24:45 AM","1"
"3DD.003DFA237A","B2J - Bonneville PH2 Juvenile","4/27/2024 10:43:18 AM","1"
"3DD.0077BFE346","BCC - BON PH2 Corner Collector","4/27/2024 10:30:23 AM","1"
"3DD.003DFA1507","B2J - Bonneville PH2 Juvenile","4/24/2024 1:27:17 AM","1"
"3DD.003DFA11AE","B2J - Bonneville PH2 Juvenile","6/3/2023 2:18:52 AM","1"
"3DD.003D7F3961","BCC - BON PH2 Corner Collector","6/2/2023 1:48:36 AM","1"
"3DD.003D7F5E1D","BCC - BON PH2 Corner Collector","6/1/2023 12:42:35 PM","1"
"3DD.003DFA11DB","BCC - BON PH2 Corner Collector","5/31/2023 1:00:07 PM","1"
"3DD.003D7F41BD","B2J - Bonneville PH2 Juvenile","5/30/2023 3:10:01 PM","1"
"3DD.003DFA1150","BCC - BON PH2 Corner Collector","5/30/2023 6:24:30 AM","1"
"3DD.003DFA1203","BCC - BON PH2 Corner Collector","5/29/2023 8:00:39 PM","1"
"3DD.003D7F5DA5","BCC - BON PH2 Corner Collector","5/29/2023 6:31:34 PM","1"
"3DD.003D7F41D6","BCC - BON PH2 Corner Collector","5/29/2023 8:34:01 AM","1"
"3DD.003D7F5E3F","BCC - BON PH2 Corner Collector","5/28/2023 9:22:33 PM","1"
"3DD.003DFA1219","BCC - BON PH2 Corner Collector","5/28/2023 7:09:49 PM","1"
"3DD.0077BFC05A","BCC - BON PH2 Corner Collector","5/28/2023 6:46:19 PM","1"
"3DD.003DFA11B7","BCC - BON PH2 Corner Collector","5/28/2023 3:33:15 PM","1"
"3DD.003DFA116C","BCC - BON PH2 Corner Collector","5/28/2023 7:12:13 AM","1"
"3DD.0077BFB592","BCC - BON PH2 Corner Collector","5/27/2023 4:45:44 PM","1"
"3DD.003DFA1114","B2J - Bonneville PH2 Juvenile","5/26/2023 8:58:47 PM","1"
"3DD.003D7F41C1","B2J - Bonneville PH2 Juvenile","5/26/2023 1:49:04 PM","1"
"3DD.003D7F41E7","B2J - Bonneville PH2 Juvenile","5/25/2023 11:00:39 PM","1"
"3DD.003D7F5CEB","B2J - Bonneville PH2 Juvenile","5/25/2023 10:29:44 PM","1"
"3DD.003D7F43BD","BCC - BON PH2 Corner Collector","5/25/2023 4:42:08 PM","1"
"3DD.003D58303F","BCC - BON PH2 Corner Collector","5/25/2023 10:55:30 AM","1"
"3DD.003DFA11EB","BCC - BON PH2 Corner Collector","5/24/2023 9:33:59 PM","1"
"3DD.003DFA11CE","B2J - Bonneville PH2 Juvenile","5/24/2023 6:38:28 PM","1"
"3DD.003D7F44B9","BCC - BON PH2 Corner Collector","5/24/2023 4:32:07 PM","1"
"3DD.0077C014CD","BCC - BON PH2 Corner Collector","5/23/2023 7:02:00 PM","1"
"3DD.003DFA110D","BCC - BON PH2 Corner Collector","5/23/2023 6:47:36 PM","1"
"3DD.003DE4CAEC","B2J - Bonneville PH2 Juvenile","5/23/2023 6:07:09 PM","1"
"3DD.003D7F42FD","B2J - Bonneville PH2 Juvenile","5/23/2023 3:38:30 PM","1"
"3DD.003D7F5D85","BCC - BON PH2 Corner Collector","5/23/2023 9:32:44 AM","1"
"3DD.003D7F44EF","BCC - BON PH2 Corner Collector","5/23/2023 5:45:34 AM","1"
"3DD.003D7F5CE1","B2J - Bonneville PH2 Juvenile","5/21/2023 12:15:42 PM","1"
"3DD.003D7F5DAA","BCC - BON PH2 Corner Collector","5/21/2023 12:17:25 AM","1"
"3DD.003D7F5CF8","B2J - Bonneville PH2 Juvenile","5/20/2023 9:05:31 PM","1"
"3DD.003D7F419D","BCC - BON PH2 Corner Collector","5/20/2023 8:05:46 PM","1"
"3DD.003D7F426D","BCC - BON PH2 Corner Collector","5/20/2023 7:41:47 PM","1"
"3DD.003D7F422F","BCC - BON PH2 Corner Collector","5/20/2023 12:11:52 PM","1"
"3DD.003D7F5DE3","BCC - BON PH2 Corner Collector","5/20/2023 10:31:04 AM","1"
"3DD.003D7F5D20","B2J - Bonneville PH2 Juvenile","5/19/2023 8:59:41 PM","1"
"3DD.003D7F43D7","BCC - BON PH2 Corner Collector","5/19/2023 3:37:28 PM","1"
"3DD.003DE4CCA3","B2J - Bonneville PH2 Juvenile","5/19/2023 8:36:20 AM","1"
