"Tag Code","Site Name","First Time Value","Count"
"3DD.003DE4C847","GRS - Lower Granite Dam Spillway","5/22/2024 6:32:44 PM","1"
"3DD.003DFA23E4","GOJ - Little Goose Dam Juvenile","5/21/2024 3:08:14 AM","1"
"3DD.003DFA1E14","GOJ - Little Goose Dam Juvenile","5/19/2024 6:34:29 AM","1"
"3DD.003DFA23E4","GRJ - Lower Granite Dam Juvenile","5/18/2024 11:10:06 PM","1"
"3DD.0077C04042","GRS - Lower Granite Dam Spillway","5/18/2024 6:29:09 PM","1"
"3DD.003DFA2432","GOJ - Little Goose Dam Juvenile","5/18/2024 4:09:28 AM","1"
"3DD.003DFA1A88","GRS - Lower Granite Dam Spillway","5/17/2024 8:27:30 PM","1"
"3DD.0077BF8BC7","GRS - Lower Granite Dam Spillway","5/17/2024 3:15:34 PM","1"
"3DD.003DFA2297","GOJ - Little Goose Dam Juvenile","5/17/2024 9:06:59 AM","1"
"3DD.003DFA241A","GRS - Lower Granite Dam Spillway","5/17/2024 7:47:58 AM","1"
"3DD.0077BF7975","GOJ - Little Goose Dam Juvenile","5/16/2024 10:42:38 AM","1"
"3DD.003DFA2297","GRS - Lower Granite Dam Spillway","5/15/2024 10:33:37 PM","1"
"3DD.003DFA228B","GRS - Lower Granite Dam Spillway","5/15/2024 5:34:44 PM","1"
"3DD.0077BFE365","GRS - Lower Granite Dam Spillway","5/15/2024 4:34:03 PM","1"
"3DD.003DFA1792","GRS - Lower Granite Dam Spillway","5/15/2024 2:17:30 PM","1"
"3DD.0077BF7975","GRS - Lower Granite Dam Spillway","5/14/2024 11:34:23 PM","1"
"3DD.0077BFAC35","GRS - Lower Granite Dam Spillway","5/14/2024 1:53:55 PM","1"
"3DD.003DFA23E6","GOJ - Little Goose Dam Juvenile","5/14/2024 11:56:35 AM","1"
"3DD.003DFA245C","GRS - Lower Granite Dam Spillway","5/13/2024 5:44:01 PM","1"
"3DD.003DFA1999","GRS - Lower Granite Dam Spillway","5/13/2024 4:42:42 PM","1"
"3DD.003DFA17E3","GOJ - Little Goose Dam Juvenile","5/13/2024 10:23:46 AM","1"
"3DD.003DFA1B76","GOJ - Little Goose Dam Juvenile","5/13/2024 10:06:03 AM","1"
"3DD.0077BFEE33","GRS - Lower Granite Dam Spillway","5/13/2024 8:55:54 AM","1"
"3DD.003DFA191A","GRS - Lower Granite Dam Spillway","5/13/2024 6:41:36 AM","1"
"3DD.003DFA1FC2","GRS - Lower Granite Dam Spillway","5/12/2024 12:05:29 PM","1"
