"Tag Code","Mark Date MMDDYYYY","Mark Length mm","Recap Length mm","Recap Site Name","Recap Date MMDDYYYY","Recap Count"
"3DD.007746588C","8/27/2014","101","197","LGR - Lower Granite Dam","4/18/2016","1"
"3D9.1BF2628FB7","8/12/2006","75","133","LGS - Little Goose Dam","5/14/2007","1"
"3D9.1BF25DA640","8/14/2006","70","128","LGS - Little Goose Dam","5/5/2007","1"
"3D9.1BF1C4A819","8/21/2003","82","127","LGS - Little Goose Dam","5/3/2004","1"
"3D9.1BF1A1E528","8/12/2004","63","126","LGS - Little Goose Dam","5/3/2005","1"
"3D9.1BF1C7059B","8/21/2003","78","126","LGS - Little Goose Dam","5/7/2004","1"
"3D9.1BF1CB07B3","8/21/2003","78","126","LGS - Little Goose Dam","5/7/2004","1"
"3D9.1BF1F8535E","8/12/2004","72","126","LGS - Little Goose Dam","5/22/2005","1"
"3D9.1BF25D0237","8/11/2006","82","126","LGS - Little Goose Dam","5/2/2007","1"
"3DD.0077C43111","8/2/2018","58","126","LGR - Lower Granite Dam","6/3/2019","1"
"3D9.1BF15D29A4","8/15/2002","58","125","LGS - Little Goose Dam","5/30/2003","1"
"3D9.1BF15D38BF","8/15/2002","77","125","LGS - Little Goose Dam","5/7/2003","1"
"3D9.1BF1CC0569","8/16/2003","64","125","LGS - Little Goose Dam","5/27/2004","1"
"3D9.1BF25D8F51","8/14/2006","79","125","LGS - Little Goose Dam","5/4/2007","1"
"3D9.1BF262ABC1","8/12/2006","74","125","LGS - Little Goose Dam","5/4/2007","1"
"3DD.00774637A4","8/26/2014","73","125","LGR - Lower Granite Dam","5/11/2015","1"
"3D9.1BF1CBB49B","8/21/2003","79","124","LGS - Little Goose Dam","5/11/2004","1"
"3D9.1BF1A1E581","8/11/2004","68","123","LGS - Little Goose Dam","5/30/2005","1"
"3D9.1BF1A756BB","8/12/2004","71","123","LGS - Little Goose Dam","5/30/2005","1"
"3D9.1BF1CB1456","8/21/2003","71","123","LGS - Little Goose Dam","5/7/2004","1"
"3DD.0077B57BB7","8/7/2017","72","123","LGR - Lower Granite Dam","5/16/2018","1"
"3D9.1BF15F5DE7","8/15/2002","68","122","LGS - Little Goose Dam","5/25/2003","1"
"3D9.1BF25D7374","8/12/2006","72","122","LGS - Little Goose Dam","5/5/2007","1"
"3D9.1BF2628FC3","8/7/2006","61","122","LGS - Little Goose Dam","5/27/2007","1"
"3DD.0077451B40","8/15/2014","71","122","LGR - Lower Granite Dam","5/9/2015","1"
"3DD.00778D9A24","8/25/2015","82","122","LGR - Lower Granite Dam","4/18/2016","1"
"3DD.0077B59067","8/7/2017","68","122","LGR - Lower Granite Dam","4/17/2018","1"
"3DD.0077CB3307","8/2/2018","62","122","LGR - Lower Granite Dam","6/3/2019","1"
"3D9.239F86A1F4","9/2/2011","81","121","LGR - Lower Granite Dam","4/24/2012","1"
